name_author,id_author,date_publication,id_comment,text_comment,answer_to,likes,vote,id_article
Мадина Борисова,170417,2020-07-31 07:46:40,11149768,"Здравствуйте,  я я мать одиночка двоих детей, категория самозанятый. Оплата ЕСП есть но мне отказывают в выплате. А тем кто работает  выплачивают(    это вообще  нормально",,0,0,5034316
Куерти Клавиатуров,101548,2020-07-31 07:49:09,11149769,"Почему об этих ""успехах"" все время твердят?",,0,0,5034316
nomad_,116412,2020-07-31 04:44:28,11149614,"Это тот посол, что п...т много? А фотку с Джаксыбеков зачем вытащили? Он уже давно как на пенсию выпнут",,1,5,5034313
Advokat,169765,2020-07-31 06:17:03,11149721,Поменяли уже фотку то,11149614,0,0,5034313
Болат Мусабаев,162912,2020-07-31 07:04:17,11149756,Где увидел Джексона?,11149614,0,0,5034313
Advokat,169765,2020-07-31 04:48:51,11149625,""".... процветание и развитие региона"" - под регионом, что он подразумевает, не могу понять",,3,3,5034313
Макс Иванов,101412,2020-07-31 04:51:26,11149631,😉Как что? То что нужно то и регион    ,11149625,2,6,5034313
Преподобный Кондратий,169516,2020-07-31 09:42:48,11149836,"Тут главное - "". <b>Китайские и казахстанские вооруженные силы </b>решительно расправляются с ""тремя силами зла"" и <b>выступают против создания ""цветной революции"" в регионе""</b>",11149625,0,0,5034313
Власть бедным!,170075,2020-07-31 04:54:55,11149634,Даже одного миллиона их личного состава хватит чтобы без шуму и пыли раздавить нашу недоармию как клопов. Только Россия является преградой на пути полного аннексирования,,1,13,5034313
Артур  Уразов,161415,2020-07-31 05:04:06,11149643,"Как бы РФ не анексировала часть ""исконно русских земель"" у нас...",11149634,-4,18,5034313
arqa,166541,2020-07-31 05:19:36,11149662,"Если бы можно было тупо силой аннексировать, то в мире был бы хаос. То, что случилось в Украине, не могло произойти без<br>предательства в верхах Украины. Чтобы аннексировать что либо у Казахстана, это нужно быть готовым к тому, что это будет хороший повод для хищников мирового масштаба начать операцию “согым” в отношении хищников. Чтобы хищники не рвали нас, нужно их кормить вовремя...",11149643,0,8,5034313
Власть бедным!,170075,2020-07-31 05:25:19,11149669,"Вообще то это ""исконно китайские земли"" не верите? почитайте школьные учебники китая!",11149643,2,8,5034313
Власть бедным!,170075,2020-07-31 05:26:45,11149673,Предательство в верхах украины это и был майдан и насильственная смена власти,11149662,1,9,5034313
arqa,166541,2020-07-31 08:00:05,11149778,"Смотри на дела. Слова разные могут быть, в разных ситуациях.",11149669,1,3,5034313
arqa,166541,2020-07-31 08:01:11,11149779,"Предали те, кто все видел и ничего не предпринял.",11149673,1,3,5034313
отряды  путина,169004,2020-07-31 09:26:45,11149831,Дальний восток РФ исконные земли Китая,11149669,0,2,5034313
Eljas Esengeldiev,107567,2020-07-31 09:38:55,11149834,Экономика такое вряд ли выдержит,11149643,1,1,5034313
ramoss,117424,2020-07-31 05:27:02,11149674,Что за ерунда... Историю учите... Макиавели почитайте...,11149634,1,5,5034313
Власть бедным!,170075,2020-07-31 05:27:45,11149676,Я вам не про историю а про нынешнее фактическое положение дел,11149674,-1,5,5034313
Takke,22396,2020-07-31 05:47:25,11149696,"зато у нас генералы все доктора наук, офицеры имеют ордена и медали почти как маршал Жуков, пулей не прошибешь...",11149634,3,3,5034313
Артур  Уразов,161415,2020-07-31 05:02:22,11149641,"С Китаем нужно сотрудничать, но посол немного перегибает про елиную судьбу обоих стран.",,2,8,5034313
Eternal Call,163227,2020-07-31 08:28:58,11149792,"В свете последних откровений Помпео надо определяться с кем конкретно сотрудничать на фоне американо-китайского разлома, с Китаем или с США в формате C5+1",11149641,0,0,5034313
Айдарбек,140778,2020-07-31 05:17:56,11149659,"с Китаем всегда дружественные соседские отношения были но дружить нужно ровно столько, сколько это выгодно обеим странам",,-1,7,5034313
Www,101369,2020-07-31 05:22:37,11149667,"Правильный ход, нам необходимо равное сотрудничество со всеми мировыми державами. Однобокая внешняя политика - это тупик для Казахстана, только многовекторная политика",,0,8,5034313
Takke,22396,2020-07-31 05:45:38,11149694,ключевые интересы Китая интересно какие в отношении Казахстана?,,4,4,5034313
Луций Сенека,131979,2020-07-31 06:23:14,11149727,"Мы им золото, они нам стеклянные бусы.",11149694,1,1,5034313
