name_author,id_author,date_publication,id_comment,text_comment,answer_to,likes,vote,id_article
Болатбек Асылбаев,102145,2020-07-31 02:06:11,11149508,Какой Ишим? Может Иртыш?,,3,3,5034298
Dikii Zapad,100747,2020-07-31 02:35:22,11149519,Тут не рекой а областью ошиблись ) Это в СКО произошло на Ишиме,11149508,1,1,5034298
Виктор Ефимович ________________________________,142821,2020-07-31 05:25:41,11149670,Точность геопозиции на нуле)),11149519,0,0,5034298
Mike Mike,114314,2020-07-31 05:10:01,11149649,"До чего ""талантлива"" нива бумагомарак???",,2,2,5034298
TamerLINE,17562,2020-07-30 20:45:25,11149415,Хороший повод опустить курс тенге еще ниже 👍,,9,11,5034297
Айгерим,166352,2020-07-30 21:12:08,11149418,Вот почему доллар 423,,8,8,5034297
Николай Репников,150105,2020-07-31 04:53:39,11149633,"А топливо коммерсы в цене не снижают! Почему бы для народа,хоть это не сделать......всё им мало, карманы набивают!!!",,9,9,5034297
Макс Иванов,101412,2020-07-31 05:59:24,11149707,Снижают. Только не на просторах снговеного пространства.,11149633,3,3,5034297
LION KING,106169,2020-07-31 05:57:06,11149705,"про Chevron, Exxon-Mobile ничего не написали - нет данных",,1,1,5034297
TamerLINE,17562,2020-07-30 20:48:21,11149416,Ага... Надеваем бетперду и с оптимизмом смотрим в будущее,,3,5,5034296
сланцевый майданщик,136996,2020-07-31 06:20:40,11149726,"благодаря Америке, наверное?<br>особенно в Италии",,3,3,5034296
Власть бедным!,170075,2020-07-31 04:12:45,11149570,"Гестапо и пытки током, по моему это архивная статья исследований при муссолини",,3,3,5034295
Дрон задумчивый,110679,2020-07-31 06:16:05,11149719,Люди в черном: Начало.,,-1,1,5034295
Aleksandr Adkin,128755,2020-07-30 18:39:54,11149311,"Полная подстава,на дорогах все прозрачно,каждый на хлеб работает,где страховка груза,где сопровождающий? Какие мошенники? Водитель дальше руля не уходит... Водителя надо поддержать! За четырнадцать лямов в тюрьму ни за что?",,-4,6,5034294
Виктор Ефимович ________________________________,142821,2020-07-31 05:22:05,11149666,"за 14 млн казнить надо, это не государство обманул, ЧЕЛОВЕКА",11149311,1,1,5034294
Йожег,126386,2020-07-31 02:33:37,11149518,"Схема очень простая, клиент находит машину на Делла или ФаФа, договаривается с водителем о перевозке. Водитель обязуется доставить груз. Машину загружают товаром, водила уезжает и все. Хорошо если договор был, в большинстве случаев никто не заключает даже этого. На телефон снимут машину, права, удостоверением и  отправляют товар. Сам часто отправляю так,не все такие конечно, теперь люди будут страховаться",,3,3,5034294
Кайрат Крымбеков,114303,2020-07-30 22:54:23,11149462,Пусть примет Аллах от нас и от вас!!!,,4,4,5034290
Бахыт Талысбаева,147895,2020-07-31 08:22:48,11149787,"Әумин, ниет қабыл болсын",11149462,3,3,5034290
